sid,sno3b
1,7.040619632
2,12.53929431
3,5.901135241
4,24.26538368
5,22.25141127
6,24.15938513
7,10.84331754
8,9.147340773
9,10.96256591
10,3.661915915
11,3.370419908
12,8.034356019
13,4.032910833
14,3.635416278
15,4.271407566
16,3.26442136
17,4.483404662
18,4.907398854
19,4.403905751
20,13.1090365
21,13.41378233
22,3.807663919
23,0.773455483
24,1.806941326
25,8.749846218
26,2.429682795
27,3.940162103
28,4.986897765
29,3.847413374
30,7.981356745
31,12.93678886
32,4.668902121
33,0.150714013
34,0.163963832
35,1.568444593
36,3.502918093
37,-0.034783445
38,1.515445319
39,1.091451127
40,0.481959476
41,2.138186788
42,0.932453305
43,0.455459839
44,2.429682795
45,1.661193322
46,1.926189692
47,1.59494423
48,0.97220276
49,0.866204212
50,0.720456209
51,7.14661818
52,5.64938869
53,6.709374169
54,1.714192596
55,1.992438784
56,0.587958024
57,0.031465647
58,3.993161377
59,1.912939873
60,1.170950038
61,1.541944956
62,1.303448223
63,2.429682795
64,1.117950764
65,0.839704575
66,0.667456935
67,0.084464921
