cut,treat,check,bio
1,C,1,56.9
1,C,1,230.17
1,C,1,196.52
1,C,1,238.55
1,C,2,285.69
1,C,2,137.52
1,C,2,160.29
1,C,2,243.23
1,L,3,89.21
1,L,3,185.96
1,L,3,142.4
1,L,4,181.7
1,L,4,214.07
1,L,4,252.28
1,L,5,200.73
1,L,5,180.62
1,M,6,111.94
1,M,6,148.72
1,M,6,159.01
1,M,7,159.78
1,M,7,187.9
1,M,7,140.27
1,M,8,189.02
1,M,8,207.54
1,H,9,126.68
1,H,9,383.08
1,H,9,209.68
1,H,10,177.87
1,H,10,187.76
1,H,11,278.72
1,H,11,171.63
1,H,11,201.17
2,C,1,224.57
2,C,1,241.85
2,C,1,186.65
2,C,1,228.09
2,C,2,293.79
2,C,2,302.93
2,C,2,179.05
2,C,2,242.49
2,L,3,199.59
2,L,3,219
2,L,3,254.94
2,L,4,255.29
2,L,4,194.24
2,L,4,252.98
2,L,5,212.67
2,L,5,217.39
2,M,6,162.35
2,M,6,220.29
2,M,6,171.72
2,M,7,210.38
2,M,7,196.41
2,M,7,150.96
2,M,8,186.78
2,M,8,136.7
2,H,9,110.05
2,H,9,137.48
2,H,9,141.88
2,H,10,170.74
2,H,10,94.2
2,H,11,136.08
2,H,11,156.52
2,H,11,289.66
