ID,treat,tdepth,bdepth,rdepth,no3
111,C,0,15,7.5,7.0
112,C,15,30,22.5,12.5
113,C,30,45,37.5,5.9
121,C,0,15,7.5,24.3
122,C,15,30,22.5,22.3
123,C,30,45,37.5,24.2
131,C,0,15,7.5,10.8
132,C,15,30,22.5,9.1
211,L,0,15,7.5,11.0
212,L,15,30,22.5,3.7
213,L,30,45,37.5,3.4
221,L,0,15,7.5,8.0
222,L,15,30,22.5,4.0
223,L,30,45,37.5,3.6
231,L,0,15,7.5,4.3
232,L,15,30,22.5,3.3
311,M,0,15,7.5,4.5
312,M,15,30,22.5,4.9
313,M,30,45,37.5,4.4
321,M,0,15,7.5,13.1
322,M,15,30,22.5,13.4
323,M,30,45,37.5,3.8
331,M,0,15,7.5,0.8
332,M,15,30,22.5,1.8
411,H,0,15,7.5,8.7
412,H,15,30,22.5,2.4
413,H,30,45,37.5,3.9
421,H,0,15,7.5,5.0
422,H,15,30,22.5,3.8
423,H,30,45,37.5,8.0
431,H,0,15,7.5,12.9
432,H,15,30,22.5,4.7
