Plot,Treat,D,Plant C,Weeds,%Cover,AlfBag,WeedBag
2,C,1,9,1mu,50,26.52,30.38
3,C,1,11,1mu,35,179.89,50.28
6,C,0,9,1pl,60,183.12,13.4
9,C,0,9,3mu,20,121.32,117.23
12,C,0,4,1st;1ca,20,131.35,154.34
13,C,0,7,1gr,35,127.52,10
14,C,1,5,3hs,35,120.36,39.93
15,C,0,7,1gr,30,233.23,10
16,L,0,8,1gr,35,79.21,10
17,L,0,8,2gr;1ma,20,145.33,40.63
18,L,0,5,2gr;2ma,15,96.93,45.47
19,L,0,6,3gr;1ma;1cw,20,137.01,44.69
20,L,0,8,1lc;1gr;1ma,25,156.95,57.12
21,L,0,7,1gr,30,228.23,24.05
22,L,1,8,1dl;1ma;1hs,45,179.05,21.68
23,L,0,8,1pl;1gr,50,156.01,24.61
24,M,1,11,1mu,15,104.26,44.57
25,M,0,8,3lq;1dl;1gr;7pl,20,57.99,53.95
26,M,0,8,5ma;1dl;1pl,80,100.72,48
27,M,0,14,2hs,85,149.01,10
28,M,0,5,3ma;1mu,40,117.69,42.09
29,M,0,7,3lc,40,177.9,10
30,M,0,8,8pl,75,85.23,55.04
31,M,0,13,1lc,25,179.02,10
32,M,0,6,22pl,80,51.49,124.01
33,M,0,4,1lc;1ma;3hs,20,124,83.54
34,H,0,5,1pl;2gr,15,95.02,31.66
35,H,0,7,1lc;2pw,25,366.17,16.91
36,H,1,11,2gr,20,194.93,14.75
37,H,0,10,1hb,35,10,10
38,H,1,6,3pl;1pw;2gr;1lc,35,146.21,31.66
39,H,1,8,1pl,30,168.33,19.43
40,H,1,3,2pl;5hs;5lc,15,108.19,170.53
41,H,1,6,2pl;5hs;5lc,20,131.12,40.51
42,H,1,9,1pl,20,186.3,14.87
