plot,block,treat,day,water,subplot,initialP,finalP,finalS,bio
1,1,MH,3,6,1,10,8,29,38.685
2,1,FH,2,6,1,8,3,7,23.323
3,1,ML,3,4,1,8,3,10,14.508
4,1,FL,2,4,1,17,3,7,33
5,1,C,0,0,1,14,8,42,76.815
6,1,JL,1,4,1,12,7,27,26.771
7,1,JH,1,6,1,14,4,16,31.947
8,2,JH,1,6,1,17,4,14,19.047
9,2,MH,3,6,1,14,6,27,10.463
10,2,FH,2,6,1,9,9,45,86.697
11,2,ML,3,4,1,12,8,42,42.175
12,2,FL,2,4,1,17,8,37,63.174
13,2,C,0,0,1,12,8,47,77.17
14,2,JL,1,4,1,12,4,11,13.442
15,3,JH,1,6,1,14,4,10,22.48
16,3,FL,2,4,1,15,6,19,30.633
17,3,ML,3,4,1,15,8,33,57.074
18,3,MH,3,6,1,14,6,37,39.511
19,3,FH,2,6,1,14,3,8,3.748
20,3,JL,1,4,1,11,3,9,2.152
21,3,C,0,0,1,11,6,22,11.559
1,1,MH,3,6,2,16,7,27,43.149
2,1,FH,2,6,2,14,5,15,26.616
3,1,ML,3,4,2,14,6,22,54.207
4,1,FL,2,4,2,12,7,28,30.491
5,1,C,0,0,2,17,5,16,40.181
6,1,JL,1,4,2,11,4,12,15.125
7,1,JH,1,6,2,11,3,11,11.689
8,2,JH,1,6,2,14,7,30,40.163
9,2,MH,3,6,2,16,8,35,25.693
10,2,FH,2,6,2,15,8,29,44.532
11,2,ML,3,4,2,18,8,42,43.479
12,2,FL,2,4,2,14,9,47,100.915
13,2,C,0,0,2,14,11,57,75.208
14,2,JL,1,4,2,12,7,27,60.41
15,3,JH,1,6,2,11,6,19,37.376
16,3,FL,2,4,2,16,8,35,44.358
17,3,ML,3,4,2,13,7,27,44.57
18,3,MH,3,6,2,14,6,21,45.322
19,3,FH,2,6,2,11,6,19,29.493
20,3,JL,1,4,2,12,4,12,15.462
21,3,C,0,0,2,9,4,16,28.545
1,1,MH,3,6,3,18,7,39,65.941
2,1,FH,2,6,3,18,5,18,53.725
3,1,ML,3,4,3,18,5,16,25.406
4,1,FL,2,4,3,10,6,21,35.379
5,1,C,0,0,3,16,7,29,20
6,1,JL,1,4,3,19,4,11,14.418
7,1,JH,1,6,3,15,7,41,54.508
8,2,JH,1,6,3,11,11,51,80.265
9,2,MH,3,6,3,12,7,35,31.284
10,2,FH,2,6,3,13,6,29,20.754
11,2,ML,3,4,3,13,9,48,47.763
12,2,FL,2,4,3,13,10,66,78.69
13,2,C,0,0,3,15,10,40,30.97
14,2,JL,1,4,3,12,9,40,66.134
15,3,JH,1,6,3,18,6,42,37.443
16,3,FL,2,4,3,12,7,21,20.195
17,3,ML,3,4,3,11,10,38,80.149
18,3,MH,3,6,3,16,6,29,98.354
19,3,FH,2,6,3,14,8,25,29
20,3,JL,1,4,3,11,7,24,8.359
21,3,C,0,0,3,9,6,25,11.41
