"","day","et","precip","irrig","aw","rech"
"1",1,0,0,0,0,0
"2",2,0,0,0,0,0
"3",3,0,0,0,0,0
"4",4,0,0,0,0,0
"5",5,0,0,0,0,0
"6",6,0,0,0,0,0
"7",7,0,0,0,0,0
"8",8,0,0,0,0,0
"9",9,0,0,0,0,0
"10",10,0,0,0,0,0
"11",11,0,0,0,0,0
"12",12,0,0,0,0,0
"13",13,0,0,0,0,0
"14",14,0,0,0,0,0
"15",15,0,0,0,0,0
"16",16,0,0,0,0,0
"17",17,0.863646050756978,0,0,-0.0863646050756978,0
"18",18,1.20674388266131,0,0,-0.207038993341829,0
"19",19,1.14694461445111,0,0,-0.32173345478694,0
"20",20,1.24443268056824,0,0,-0.446176722843764,0
"21",21,1.28377603451968,0,0,-0.574554326295732,0
"22",22,1.08574976690185,0,0,-0.683129302985917,0
"23",23,1.37960864789137,0,0,-0.821090167775054,0
"24",24,1.52777908833169,0,0,-0.973868076608223,0
"25",25,1.54987471610053,0,0,-1.12885554821828,0
"26",26,1.15807962371185,0,0,-1.24466351058946,0
"27",27,1.07628404128793,0,0,-1.35229191471825,0
"28",28,1.42171429649588,0,0,-1.49446334436784,0
"29",29,1.5437071108939,0,0,-1.64883405545723,0
"30",30,1.70862914602032,0,0,-1.81969697005926,0
"31",31,1.79370027433928,0,0,-1.99906699749319,0
"32",32,1.51776182168624,0,0,-2.15084317966182,0
"33",33,1.18458354683285,0,0,-2.2693015343451,0
"34",34,1.30807770542926,0,0,-2.40010930488803,0
"35",35,1.39045763099403,0,0,-2.53915506798743,0
"36",36,1.2095331641179,0,0,-2.66010838439922,0
"37",37,1.5968543486887,0,0,-2.81979381926809,0
"38",38,1.84519294779999,0,0,-3.00431311404809,0
"39",39,2.06788443594669,0,0,-3.21110155764276,0
"40",40,2.09256772287521,0,0,-3.42035832993028,0
"41",41,2.20304904451915,0,0,-3.64066323438219,0
"42",42,2.19975774189921,0,0,-3.86063900857211,0
"43",43,0.863929903845229,0,0,-3.94703199895664,0
"44",44,2.06159977528722,0,0,-4.15319197648536,0
"45",45,2.07252638089025,0,0,-4.36044461457438,0
"46",46,1.75339585068192,0,0,-4.53578419964258,0
"47",47,2.19898712848162,0,0,-4.75568291249074,0
"48",48,2.66172507272159,0,4.1394816372,-0.882373782562898,0
"49",49,2.42239705571935,0,28.10828316864,12.46,14.5236696805052
"50",50,1.95339785407451,0,18.50346363816,12.46,18.3081238527526
"51",51,1.37257206793428,0,16.64796818736,12.46,16.5107109805666
"52",52,1.41169633803527,0,2.2614396732,12.46,2.12027003939647
"53",53,1.68149333575706,0,0,12.2918506664243,0
"54",54,1.99076131558363,0,0,12.0927745348659,0
"55",55,0.984716042177648,0,0,11.9943029306482,0
"56",56,0.595465947416931,0,0,11.9347563359065,0
"57",57,1.26539918982027,0,0,11.8082164169244,0
"58",58,1.4149304526092,0,0,11.6667233716635,0
"59",59,1.64433470857754,0,0,11.5022899008058,0
"60",60,2.33772521081997,0,0,11.2685173797238,0
"61",61,2.32190537096352,0,0,11.0363268426274,0
"62",62,1.49111311278819,0,0,10.8872155313486,0
"63",63,2.11133180110941,0,0,10.6760823512377,0
"64",64,2.53871072416437,0,0,10.4222112788212,0
"65",65,1.06127324205452,0,0,10.3160839546158,0
"66",66,1.83581753173346,0,44.83929161664,12.46,42.5117938180824
"67",67,1.50445658786396,0,34.2448678068,12.46,34.0944221480136
"68",68,2.1922566324421,0,35.61237443424,12.46,35.3931487709958
"69",69,2.90088629045333,0,13.76858437032,12.46,13.4784957412747
"70",70,3.3657863277264,0,14.063728032,12.46,13.7271493992274
"71",71,2.23953038317949,0,9.50526779664,12.46,9.28131475832205
"72",72,2.96795849196224,0,10.57416689328,12.46,10.2773710440838
"73",73,2.52584355898703,0,17.62529085552,12.46,17.3727064996213
"74",74,2.31397084604835,0,17.43279664056,12.46,17.2013995559552
"75",75,1.83444960361976,0,20.81674838928,12.46,20.633303428918
"76",76,1.66912284226175,0,29.89619882064,12.46,29.7292865364138
"77",77,2.88345697610673,0,26.36939819328,12.46,26.0810524956693
"78",78,3.64459726147291,0,26.85787603776,12.46,26.4934163116127
"79",79,3.68483907139126,0,1.4349950472,12.46,1.06651114006087
"80",80,3.22431438148557,0,31.24850754096,12.46,30.9260761028114
"81",81,3.76921234933254,0,32.0655057444,12.46,31.6885845094667
"82",82,2.70830402632018,0,34.496348838,12.46,34.225518435368
"83",83,3.93399055471407,0,12.56103474072,12.46,12.1676356852486
"84",84,2.63655427702823,0,18.12594390552,12.46,17.8622884778172
"85",85,3.67878859330321,0,28.15894379376,12.46,27.7910649344297
"86",86,4.07274174081014,0,28.90708923168,12.46,28.499815057599
"87",87,4.12918632561438,0,27.7216858824,12.46,27.3087672498386
"88",88,4.17820694051237,0,27.20654894976,12.46,26.7887282557088
"89",89,4.3696445986472,0,26.7772679592,12.46,26.3403034993353
"90",90,4.34589025527118,0,26.94541154976,12.46,26.5108225242329
"91",91,3.36957323878843,0,32.166475926,12.46,31.8295186021212
"92",92,4.07793327662009,0,27.79095847944,12.46,27.383165151778
"93",93,1.49889882116757,0,28.72341150912,12.46,28.5735216270032
"94",94,3.51994304166398,0,0,12.1080056958336,0
"95",95,3.94742618886611,0,31.63958346696,12.46,30.892846543907
"96",96,3.01486558568074,0,0,12.1585134414319,0
"97",97,2.21722316942932,0,0,11.936791124489,0
"98",98,2.52016904377672,0,24.3092695932,12.46,23.5340438133113
"99",99,1.53277107922641,0,22.943967066,12.46,22.7906899580774
"100",100,2.68552351931042,0,0.23825618592,12.429703833989,0
"101",101,4.02793683868056,0,0,12.0269101501209,0
