,day,et,precip,irrig,aw,rech
1,1,0,0,0,0,0
2,2,0,0,0,0,0
3,3,0,0.0254,0,0,0
4,4,0,0,0,0,0
5,5,0,0,0,0,0
6,6,0,0.0254,0,0,0
7,7,0,0,0,0,0
8,8,0,0.0254,0,0,0
9,9,0,0.0254,0,0,0
10,10,0,0,0,0,0
11,11,0,0.0254,0,0,0
12,12,0,0.1016,0,0,0
13,13,0,0.0254,0,0,0
14,14,0,0.0254,0,0,0
15,15,0,0.5588,0,0,0
16,16,0,2.3368,0,0,0
17,17,0.863646051,0.127,0,0.040635395,0
18,18,1.206743883,1.2192,0,1.139161007,0
19,19,1.146944614,0,0,1.024466545,0
20,20,1.244432681,0.0254,0,0.925423277,0
21,21,1.283776035,0,0,0.797045674,0
22,22,1.085749767,0,0,0.688470697,0
23,23,1.379608648,0.0254,0,0.575909832,0
24,24,1.527779088,0,0,0.423131923,0
25,25,1.549874716,0.0254,0,0.293544452,0
26,26,1.158079624,0.0254,0,0.203136489,0
27,27,1.076284041,0.0254,0,0.120908085,0
28,28,1.421714296,0.0254,0,0.004136656,0
29,29,1.543707111,0,0,-0.150234055,0
30,30,1.708629146,0.0254,0,-0.29569697,0
31,31,1.793700274,0.0254,0,-0.449666997,0
32,32,1.517761822,0.0508,0,-0.55064318,0
33,33,1.184583547,0.127,0,-0.542101534,0
34,34,1.308077705,0.4826,0,-0.190309305,0
35,35,1.390457631,0,0,-0.329355068,0
36,36,1.209533164,0.3302,0,-0.120108384,0
37,37,1.596854349,1.2192,0,0.939406181,0
38,38,1.845192948,1.8034,0,2.558286886,0
39,39,2.067884436,0.1778,0,2.529298442,0
40,40,2.092567723,1.1684,0,3.48844167,0
41,41,2.203049045,0.0254,0,3.293536766,0
42,42,2.199757742,0,0,3.073560991,0
43,43,0.863929904,0.0254,0,3.012568001,0
44,44,2.061599775,0.0254,0,2.831808024,0
45,45,2.072526381,0,0,2.624555385,0
46,46,1.753395851,0.0254,0,2.4746158,0
47,47,2.198987128,0,0,2.254717088,0
48,48,2.661725073,0.0254,4.139481637,6.153426217,0
49,49,2.422397056,0,28.10828317,12.46,21.55946968
50,50,1.953397854,0.0254,18.50346364,12.46,18.33352385
51,51,1.372572068,0,16.64796819,12.46,16.51071098
52,52,1.411696338,0,2.261439673,12.46,2.120270039
53,53,1.681493336,0,0,12.29185067,0
54,54,1.990761316,0,0,12.09277453,0
55,55,0.984716042,0,0,11.99430293,0
56,56,0.595465947,0,0,11.93475634,0
57,57,1.26539919,0.1016,0,11.90981642,0
58,58,1.414930453,0.1016,0,11.86992337,0
59,59,1.644334709,0,0,11.7054899,0
60,60,2.337725211,0,0,11.47171738,0
61,61,2.321905371,0,0,11.23952684,0
62,62,1.491113113,0,0,11.09041553,0
63,63,2.111331801,0,0,10.87928235,0
64,64,2.538710724,0,0,10.62541128,0
65,65,1.061273242,0,0,10.51928395,0
66,66,1.835817532,0,44.83929162,12.46,42.71499382
67,67,1.504456588,0,34.24486781,12.46,34.09442215
68,68,2.192256632,0,35.61237443,12.46,35.39314877
69,69,2.90088629,0,13.76858437,12.46,13.47849574
70,70,3.365786328,0.127,14.06372803,12.46,13.8541494
71,71,2.239530383,0.127,9.505267797,12.46,9.408314758
72,72,2.967958492,0.0254,10.57416689,12.46,10.30277104
73,73,2.525843559,0.127,17.62529086,12.46,17.4997065
74,74,2.313970846,0.381,17.43279664,12.46,17.58239956
75,75,1.834449604,0.381,20.81674839,12.46,21.01430343
76,76,1.669122842,0.1016,29.89619882,12.46,29.83088654
77,77,2.883456976,0,26.36939819,12.46,26.0810525
78,78,3.644597261,0,26.85787604,12.46,26.49341631
79,79,3.684839071,0,1.434995047,12.46,1.06651114
80,80,3.224314381,0.0508,31.24850754,12.46,30.9768761
81,81,3.769212349,0.1016,32.06550574,12.46,31.79018451
82,82,2.708304026,0.2032,34.49634884,12.46,34.42871844
83,83,3.933990555,0.508,12.56103474,12.46,12.67563569
84,84,2.636554277,0,18.12594391,12.46,17.86228848
85,85,3.678788593,0.0254,28.15894379,12.46,27.81646493
86,86,4.072741741,0,28.90708923,12.46,28.49981506
87,87,4.129186326,0,27.72168588,12.46,27.30876725
88,88,4.178206941,0,27.20654895,12.46,26.78872826
89,89,4.369644599,0,26.77726796,12.46,26.3403035
90,90,4.345890255,0.0762,26.94541155,12.46,26.58702252
91,91,3.369573239,0,32.16647593,12.46,31.8295186
92,92,4.077933277,0,27.79095848,12.46,27.38316515
93,93,1.498898821,0,28.72341151,12.46,28.57352163
94,94,3.519943042,0,0,12.1080057,0
95,95,3.947426189,0.381,31.63958347,12.46,31.27384654
96,96,3.014865586,0,0,12.15851344,0
97,97,2.217223169,0.0508,0,11.98759112,0
98,98,2.520169044,0.0762,24.30926959,12.46,23.66104381
99,99,1.532771079,0,22.94396707,12.46,22.79068996
100,100,2.685523519,0,0.238256186,12.42970383,0
101,101,4.027936839,0,0,12.02691015,0
