Date,Time on,Time off,START,END,Flow rate,deltat,minutes,gallons,ac-ft,cumulative,cm,LO,HI
26-Jan,11:20,15:00,1/26/2015 11:20,1/26/2015 15:00,70,0.15,220,15400,0.047264085,0.047264085,62.75294118,,
1/28/2015,8:10,9:50,1/28/2015 8:10,1/28/2015 9:50,75,0.07,100,7500,0.023018223,0.070282308,30.56149733,,
30-Jan,8:10,9:50,1/30/2015 8:10,1/30/2015 9:50,75,0.07,100,7500,0.023018223,0.093300531,30.56149733,123.8759358,
4-Feb,11:30,12:20,2/4/2015 11:30,2/4/2015 12:20,150,0.03,50,7500,0.023018223,0.116318754,30.56149733,,154.4374332
19-Feb,11:00,15:00,2/19/2015 11:00,2/19/2015 15:00,50,0.17,240,12000,0.036829157,0.153147911,48.89839572,,204.1508021
20-Feb,11:50,15:00,2/20/2015 11:50,2/20/2015 15:00,40,0.13,190,7600,0.023325133,0.176473044,30.96898396,,
23-Feb,11:30,15:10,2/23/2015 11:30,2/23/2015 15:10,40,0.15,220,8800,0.027008048,0.203481092,35.85882353,,
24-Feb,14:15,15:30,2/24/2015 14:15,2/24/2015 15:30,100,0.05,75,7500,0.023018223,0.226499315,30.56149733,,
26-Feb,10:50,12:00,2/26/2015 10:50,2/26/2015 12:00,100,0.05,70,7000,0.021483675,0.24798299,28.52406417,,
27-Feb,14:00,15:00,2/27/2015 14:00,2/27/2015 15:00,120,0.04,60,7200,0.022097494,0.270080484,29.33903743,,
28-Feb,23:00,23:59,2/28/2015 12:00,2/28/2015 13:00,0,0,0,0,0,0,0,,
9-Mar,10:40,12:30,3/9/2015 10:40,3/9/2015 12:30,70,0.08,110,7700,0.023632042,0.293712526,31.37647059,,194.1673797
10-Mar,12:30,14:20,3/10/2015 12:30,3/10/2015 14:20,70,0.08,110,7700,0.023632042,0.317344569,31.37647059,,
12-Mar,10:45,12:30,3/12/2015 10:45,3/12/2015 12:30,75,0.07,105,7875,0.024169134,0.341513703,32.08957219,,
13-Mar,10:40,12:20,3/13/2015 10:40,3/13/2015 12:20,75,0.07,100,7500,0.023018223,0.364531926,30.56149733,,
17-Mar,8:00,9:00,3/17/2015 8:00,3/17/2015 9:00,125,0.04,60,7500,0.023018223,0.387550149,30.56149733,,
19-Mar,9:00,10:15,3/19/2015 9:00,3/19/2015 10:15,125,0.05,75,9375,0.028772779,0.416322928,38.20187166,,
21-Mar,9:00,10:15,3/21/2015 9:00,3/21/2015 12:15,0,0,0,0,0,0,0,,
