Date,JL,JH,FL,FH ,ML,MH,C
26-01-15,62.75294118,62.75294118,0,0,0,0,0
27-01-15,30.56149733,30.56149733,0,0,0,0,0
28-01-15,30.56149733,30.56149733,0,0,0,0,0
30-01-15,0,30.56149733,0,0,0,0,0
04-02-15,0,30.56149733,0,0,0,0,0
19-02-15,0,0,48.89839572,48.89839572,0,0,0
20-02-15,0,0,30.96898396,30.96898396,0,0,0
23-02-15,0,0,48.89839572,48.89839572,0,0,0
24-02-15,0,0,30.96898396,30.96898396,0,0,0
26-02-15,0,0,0,28.52406417,0,0,0
27-02-15,0,0,0,29.33903743,0,0,0
28-02-15,0,0,0,0,0,0,0
09-03-15,0,0,0,0,31.37647059,31.37647059,0
10-03-15,0,0,0,0,31.37647059,31.37647059,0
12-03-15,0,0,0,0,32.08957219,32.08957219,0
13-03-15,0,0,0,0,30.56149733,30.56149733,0
17-03-15,0,0,0,0,0,30.56149733,0
19-03-15,0,0,0,0,0,38.20187166,0
21-03-15,0,0,0,0,0,0,0
