subplot,lng,lat
1,-122.834699128,41.497905790
2,-122.834884950,41.497955847
3,-122.834821136,41.498067249
4,-122.835031914,41.498031147
5,-122.835205489,41.498002990
6,-122.835405990,41.497979400
7,-122.835602184,41.498011874
8,-122.835599874,41.498096108
9,-122.835500246,41.498056708
10,-122.835263529,41.498079511
11,-122.834683714,41.498343678
12,-122.834998276,41.498384026
13,-122.835249164,41.498315635
14,-122.835461420,41.498438076
15,-122.835835390,41.498323482
16,-122.836124964,41.498655103
17,-122.835436884,41.498655271
18,-122.834937091,41.498637064
19,-122.834855697,41.498963792
20,-122.835226151,41.498986159
21,-122.835780942,41.498974703
22,-122.835873325,41.499208868
23,-122.834995314,41.499260999
24,-122.834785438,41.499560091
25,-122.835302362,41.499592529
26,-122.835543551,41.499537854
27,-122.836015811,41.499551635
28,-122.835964788,41.499805789
29,-122.835329523,41.499926800
30,-122.835120588,41.499890903
31,-122.835051690,41.500143458
32,-122.835486397,41.500104011
33,-122.835793700,41.500244621
34,-122.835775130,41.500471860
35,-122.835410387,41.500492857
36,-122.834990298,41.500513122
37,-122.835181992,41.500775911
38,-122.835568633,41.500818977
39,-122.835795788,41.500839729
40,-122.835748726,41.501086686
41,-122.835485271,41.501028476
42,-122.835172963,41.501079332
