id,plot,depth,rep,SAND,CLAY,SILT
09D11,09,D,1,89.22554531,5.555444949,5.219009745
09D21,09,D,2,90.96168576,5.205733038,3.832581201
09D31,09,D,3,91.6015435,4.807381739,3.59107476
09S11,09,S,1,28.44936801,25.6965224,45.85410959
09S21,09,S,2,28.9565156,25.46795922,45.57552518
09S31,09,S,3,29.5658493,25.68125718,44.75289352
10D11,10,D,1,76.7625686,10.20050335,13.03692806
10D21,10,D,2,78.24507285,10.10111561,11.65381154
10D31,10,D,3,78.14020922,9.985384296,11.87440649
10S11,10,S,1,44.91069794,21.48361611,33.60568595
10S21,10,S,2,44.73135591,21.34506198,33.92358211
10S31,10,S,3,45.18311674,22.45610643,32.36077682
11D11,11,D,1,82.23546465,9.436750867,8.327784485
11D21,11,D,2,81.05312167,9.73956759,9.207310741
11D31,11,D,3,80.70709665,9.620445851,9.672457501
11S11,11,S,1,53.79330113,18.26363282,27.94306606
11S21,11,S,2,58.11603518,18.52424083,23.35972399
11S31,11,S,3,57.52350722,18.75511876,23.72137402
12D11,12,D,1,81.14735989,9.085517352,9.767122754
12D21,12,D,2,80.75535632,9.344317797,9.900325885
12D31,12,D,3,81.27649139,9.370907504,9.352601111
12S11,12,S,1,44.44677741,21.45416752,34.09905507
12S21,12,S,2,40.66817969,21.89000314,37.44181717
12S31,12,S,3,42.81206404,21.82462527,35.36331069
13D11,13,D,1,80.9264149,9.272404791,9.801180308
13D21,13,D,2,80.78328302,9.153151153,10.06356583
13D31,13,D,3,81.64450945,9.52331428,8.83217627
13S11,13,S,1,48.2378972,18.13165871,33.63044409
13S21,13,S,2,46.57538173,19.88225306,33.54236521
13S31,13,S,3,46.16045153,18.43597744,35.40357103
